always_blocks,and_count,bind_count,case_count,dff_count,estimated_depth,if_count,instance_count,module_name,module_type,mux_count,not_count,num_cells,num_wires,or_count,plus_count,signal_count,term_count,xor_count
3,0,1,5,,9,10,1,check,Combinational,,1,,,0,0,4,4,0
3,21,21,5,3,14,10,1,axi4_lite_ip_core,Combinational,13,4,20,37,0,0,26,31,0
3,0,25,5,,11,10,1,input_pipeline,Combinational,24,0,48,52,0,0,28,29,0
3,6,7,5,7,13,10,1,fifo,Memory,14,2,32,38,0,3,12,12,0
3,0,23,5,8,16,10,1,uart_rx,Memory,36,0,70,73,0,11,11,26,0
3,0,4,5,4,11,10,1,decade_counter_pipeline,Counter,8,0,13,16,0,1,7,7,0
3,2,5,5,,7,10,1,FULL_ADDER,Combinational,,0,5,8,1,0,8,8,2
3,0,3,5,,12,10,1,compression_decompression,Combinational,1,0,2,4,0,0,4,4,0
3,0,16,5,,17,10,1,mem_test,Memory,,1,,,0,2,18,21,0
3,1,8,5,,10,10,1,bitwise_and_or,Combinational,2,0,4,9,1,0,7,11,0
3,8,5,5,,11,10,1,carry_lookahead_adder,Arithmetic,2,0,2,5,7,2,7,7,1
3,0,1,5,,10,10,1,buffer_module,Combinational,1,0,1,5,1,0,2,2,0
3,3,4,5,,8,10,1,magnitude_comparator_4bit,Combinational,,2,7,11,0,2,6,6,0
3,0,4,5,4,9,10,1,seven_segment_decoder,Sequential,,0,15,17,0,0,5,5,0
3,0,1,5,,6,10,1,mux2to1,Combinational,1,0,1,4,0,0,4,4,0
3,0,2,5,1,10,10,1,binary_up_counter,Memory,1,0,3,5,0,1,3,4,0
3,6,16,5,13,11,10,3,fifo_8_16,Combinational,26,2,3,2,0,1,23,24,3
3,0,1,5,1,11,10,1,dff_with_enable_and_set,Combinational,2,0,3,7,0,0,5,5,0
3,7,9,5,,9,10,1,karnaugh_map,Combinational,,9,59,41,0,0,6,14,0
3,0,4,5,3,10,10,1,scratchpad_ram,Memory,3,0,8,11,0,0,6,8,0
3,0,5,5,1,10,10,1,pipelined_multiplier,Counter,5,0,5,9,0,2,9,9,0
3,2,2,5,,7,10,1,logic_module,Combinational,,1,3,6,0,0,5,5,0
3,0,38,5,7,16,10,2,sd_controller,Memory,18,1,40,52,0,1,34,44,2
3,0,15,5,1,10,10,1,decoder_2to4_adder,Sequential,,1,8,16,0,1,13,18,0
3,0,21,5,,9,10,1,DAC,Combinational,,0,16,18,0,0,3,22,0
3,0,7,5,2,8,10,1,xor_gate,Combinational,,0,3,6,0,0,8,9,1
3,0,1,5,1,11,10,1,counter,Counter,2,0,4,7,0,1,4,4,0
3,9,10,5,5,12,10,1,fifo_queue,Combinational,13,1,29,36,0,2,15,16,0
3,0,12,5,1,10,10,1,RingOscillatorInterface,Memory,,0,2,6,0,2,4,13,0
3,0,48,5,,12,10,4,top_module,Counter,1,0,3,8,0,2,18,52,0
3,0,13,5,,14,10,1,stratixii_reorder_output,Combinational,6,0,15,15,0,0,5,16,0
3,2,7,5,,7,10,1,comparator_4bit,Combinational,,2,9,11,1,0,9,9,1
3,0,6,5,,11,10,1,two_to_four_decoder,Combinational,1,0,6,8,0,0,3,8,0
3,0,2,5,1,7,10,1,dual_edge_ff,Sequential,,0,1,3,0,0,4,4,0
3,0,53,5,,9,10,1,binary_to_bcd_converter,Combinational,,0,66,69,0,0,6,54,0
3,0,4,5,4,10,10,1,buffer,Combinational,4,0,10,15,0,0,8,10,0
3,1,5,5,,15,10,1,accu,Counter,6,1,18,23,0,4,10,10,0
3,0,3,5,5,15,10,1,stack_pointer,Sequential,13,0,24,29,0,2,9,9,0
3,0,7,5,3,11,10,1,servo_control,Memory,6,0,12,15,0,1,6,10,0
3,0,3,5,,7,10,1,sdio_function_template,Combinational,,0,0,4,0,0,5,6,0
3,8,11,5,,6,10,1,my_xor3,Combinational,,3,14,18,3,0,14,14,0
3,0,36,5,1,11,10,3,top_module,Memory,1,1,3,11,0,1,21,40,0
3,6,56,5,,15,10,1,fifo,Memory,14,1,46,51,3,4,14,60,0
3,0,9,5,,6,10,1,JNOR8C,Combinational,,9,16,24,7,0,17,17,0
3,3,6,5,1,14,10,1,rcswitch_send,Sequential,11,1,21,29,0,0,12,12,0
3,3,21,5,,9,10,5,top_module,Arithmetic,1,1,0,3,2,5,25,25,0
3,0,9,5,,11,10,1,power_manager,Sequential,,0,,,0,1,7,13,0
3,0,4,5,1,13,10,1,simple_calculator,Memory,2,0,8,15,0,1,8,10,0
3,0,12,5,,11,10,1,calculator,Arithmetic,,4,20,23,0,1,7,15,0
3,0,3,5,3,15,10,1,calculator,Arithmetic,6,0,26,31,0,1,8,8,0
3,0,4,5,,10,10,1,tracking_camera_system_switch,Sequential,,1,0,7,0,0,8,8,0
3,0,7,5,5,12,10,1,ripple_carry_adder_subtractor,Sequential,3,3,16,23,0,4,10,10,1
3,0,2,5,2,13,10,1,calculator,Sequential,3,0,15,20,0,1,7,7,0
3,15,47,5,,11,10,5,top_module,Sequential,,9,4,7,0,0,23,49,0
3,0,4,5,2,12,10,1,async_reset_release,Memory,4,0,8,11,0,1,5,6,0
3,0,10,5,4,15,10,1,sequential_multiplier,Counter,5,0,10,14,0,2,9,14,0
3,0,3,5,3,10,10,1,sram,Combinational,4,0,9,14,0,0,9,9,0
3,4,16,5,3,16,10,1,digital_clock,Sequential,18,4,48,53,0,4,11,21,0
3,0,1,5,1,10,10,1,clock_gating,Combinational,2,0,3,6,0,0,4,4,0
3,0,3,5,2,11,10,1,counter_8bit,Counter,4,0,7,11,0,1,6,6,0
3,0,5,5,,7,10,1,comparator_2bit,Combinational,1,0,2,8,0,0,7,7,0
3,0,4,5,,10,10,1,adder4,Combinational,,0,2,7,0,5,7,7,0
3,3,5,5,,13,10,1,accu,Counter,8,2,17,22,0,2,10,10,0
3,4,10,5,,11,10,1,fifo_full_block,Arithmetic,2,1,16,21,0,3,13,14,4
